index,resale_price
0,4.22E+05
1,2.61E+05
2,2.43E+05
3,1.77E+05
4,2.21E+05
5,1.45E+05
6,4.10E+05
7,1.38E+05
8,2.50E+05
9,3.90E+05
10,3.04E+05
11,4.18E+05
12,1.53E+05
13,1.22E+05
14,3.79E+05
15,2.80E+05
16,2.53E+05
17,3.63E+05
18,3.48E+05
19,1.27E+05
20,3.87E+05
21,3.60E+05
22,1.85E+05
23,2.96E+05
24,3.81E+05
25,1.92E+05
26,3.79E+05
27,1.13E+05
28,1.68E+05
29,6.41E+04
30,4.57E+05
31,3.05E+05
32,5.23E+05
33,2.65E+05
34,1.04E+05
35,2.73E+05
36,4.11E+04
37,4.70E+05
38,2.96E+05
39,1.31E+05
40,5.53E+05
41,3.04E+05
42,1.20E+05
43,3.57E+05
44,3.11E+05
45,3.82E+05
46,2.42E+05
47,1.80E+05
48,1.49E+05
49,2.64E+05
50,2.59E+05
51,3.95E+05
52,2.26E+05
53,3.32E+05
54,3.93E+05
55,2.95E+05
56,2.76E+05
57,3.18E+05
58,2.49E+05
59,1.40E+05
60,3.73E+05
61,3.63E+05
62,2.77E+05
63,1.07E+05
64,3.64E+05
65,1.90E+05
66,2.53E+05
67,5.01E+05
68,2.01E+05
69,3.46E+04
70,2.81E+05
71,2.83E+05
72,1.28E+05
73,4.25E+05
74,3.07E+05
75,3.89E+05
76,5.28E+05
77,1.90E+05
78,1.96E+05
79,1.13E+05
80,1.90E+05
81,8.43E+04
82,3.25E+05
83,5.16E+05
84,2.67E+05
85,2.09E+05
86,3.13E+05
87,2.70E+05
88,2.07E+05
89,1.76E+05
90,-1.39E+04
91,1.93E+05
92,3.24E+05
93,3.04E+05
94,2.95E+05
95,4.39E+05
96,4.14E+05
97,2.86E+05
98,1.82E+05
99,5.28E+05
100,2.19E+05
101,2.73E+05
102,2.77E+05
103,2.08E+05
104,1.27E+05
105,1.57E+05
106,3.94E+05
107,2.76E+05
108,1.51E+05
109,1.48E+05
110,1.96E+05
111,1.75E+05
112,3.57E+05
113,1.57E+05
114,3.66E+05
115,3.95E+05
116,4.88E+05
117,8.69E+04
118,4.32E+05
119,4.20E+05
120,2.48E+05
121,3.71E+05
122,2.26E+05
123,1.88E+05
124,4.46E+05
125,2.89E+05
126,2.55E+05
127,5.76E+05
128,3.46E+05
129,1.98E+05
130,1.61E+05
131,1.43E+05
132,2.75E+05
133,3.77E+05
134,2.82E+05
135,4.12E+05
136,4.81E+05
137,1.67E+05
138,1.97E+05
139,1.23E+05
140,2.19E+05
141,3.32E+05
142,2.74E+05
143,8.70E+04
144,1.66E+05
145,3.21E+05
146,3.08E+05
147,2.64E+05
148,1.47E+05
149,9.69E+04
150,2.28E+05
151,1.83E+05
152,1.82E+05
153,2.31E+05
154,1.69E+05
155,4.61E+05
156,3.48E+05
157,1.32E+05
158,4.05E+05
159,1.23E+05
160,3.85E+05
161,4.85E+05
162,3.47E+05
163,3.56E+05
164,2.58E+05
165,2.84E+05
166,3.24E+05
167,8.27E+04
168,1.55E+05
169,1.63E+05
170,1.56E+05
171,3.78E+05
172,3.16E+05
173,4.26E+05
174,1.84E+05
175,4.27E+05
176,2.28E+05
177,6.25E+04
178,5.21E+05
179,2.15E+05
180,2.44E+05
181,4.81E+05
182,4.04E+05
183,4.65E+05
184,1.89E+05
185,1.86E+05
186,9.86E+04
187,2.50E+05
188,4.24E+05
189,7.45E+04
190,4.18E+05
191,4.08E+05
192,1.98E+05
193,2.94E+05
194,6.18E+05
195,1.02E+05
196,2.60E+05
197,3.05E+05
198,1.36E+05
199,3.70E+05
200,1.88E+05
201,3.73E+05
202,2.47E+05
203,2.14E+05
204,3.16E+05
205,1.16E+05
206,1.65E+05
207,1.44E+05
208,2.84E+05
209,3.72E+05
210,2.22E+05
211,3.28E+05
212,2.80E+05
213,5.64E+05
214,4.20E+05
215,1.55E+05
216,2.40E+05
217,7.61E+04
218,3.31E+05
219,4.39E+05
220,2.63E+05
221,3.64E+05
222,7.25E+04
223,2.40E+05
